watts,data
840.2836,2012-04-30 09:15:00
1001.2972,2012-04-30 09:30:00
657.42175,2012-04-30 09:45:00
850.7167,2012-04-30 10:00:00
1299.6973,2012-04-30 10:15:00
1263.5481,2012-04-30 10:30:00
479.53476,2012-04-30 10:45:00
1216.9766,2012-04-30 11:00:00
1154.6865,2012-04-30 11:15:00
1090.6593,2012-04-30 11:30:00
651.1544,2012-04-30 11:45:00
1079.407,2012-04-30 12:00:00
935.955,2012-04-30 12:15:00
1224.3922,2012-04-30 12:30:00
1209.8618,2012-04-30 12:45:00
1366.7356,2012-04-30 13:00:00
1648.849,2012-04-30 13:15:00
1431.1062,2012-04-30 13:30:00
646.3034,2012-04-30 13:45:00
808.8064,2012-04-30 14:00:00
726.6234,2012-04-30 14:15:00
537.60364,2012-04-30 14:30:00
781.76984,2012-04-30 14:45:00
911.68024,2012-04-30 15:00:00
1091.8748,2012-04-30 15:15:00
605.0594,2012-04-30 15:30:00
941.8994,2012-04-30 15:45:00
472.57712,2012-04-30 16:00:00
243.64859,2012-04-30 16:15:00
599.96655,2012-04-30 16:30:00
735.17444,2012-04-30 16:45:00
628.7117,2012-04-30 17:00:00
1145.6824,2012-04-30 17:15:00
960.58417,2012-04-30 17:30:00
1362.1962,2012-04-30 17:45:00
804.8681,2012-04-30 18:00:00
930.8436,2012-04-30 18:15:00
263.89838,2012-04-30 18:30:00
737.3894,2012-04-30 18:45:00
1259.9414,2012-04-30 19:00:00
290.87134,2012-04-30 19:15:00
577.7309,2012-04-30 19:30:00
589.6612,2012-04-30 19:45:00
771.86304,2012-04-30 20:00:00
623.02344,2012-04-30 20:15:00
788.9208,2012-04-30 20:30:00
780.522,2012-04-30 20:45:00
1048.6956,2012-04-30 21:00:00
961.5279,2012-04-30 21:15:00
402.98596,2012-04-30 21:30:00
377.30322,2012-04-30 21:45:00
598.8574,2012-04-30 22:00:00
526.03906,2012-04-30 22:15:00
1387.976,2012-04-30 22:30:00
1444.8794,2012-04-30 22:45:00
1127.0532,2012-04-30 23:00:00
1045.7375,2012-04-30 23:15:00
880.7502,2012-04-30 23:30:00
874.1999,2012-04-30 23:45:00
434.67664,2012-05-07 00:00:00
143.70335,2012-05-07 00:15:00
621.0054,2012-05-07 00:30:00
578.3796,2012-05-07 00:45:00
662.7096,2012-05-07 01:00:00
1304.4354,2012-05-07 01:15:00
1397.9198,2012-05-07 01:30:00
1670.9185,2012-05-07 01:45:00
1234.3186,2012-05-07 02:00:00
845.79535,2012-05-07 02:15:00
1062.6895,2012-05-07 02:30:00
882.72,2012-05-07 02:45:00
1367.346,2012-05-07 03:00:00
1271.6239,2012-05-07 03:15:00
1518.665,2012-05-07 03:30:00
1375.8638,2012-05-07 03:45:00
1147.4263,2012-05-07 04:00:00
1199.0094,2012-05-07 04:15:00
1520.1351,2012-05-07 04:30:00
1171.1315,2012-05-07 04:45:00
731.963,2012-05-07 05:00:00
1176.7711,2012-05-07 05:15:00
976.67303,2012-05-07 05:30:00
474.03464,2012-05-07 05:45:00
701.23883,2012-05-07 06:00:00
538.44165,2012-05-07 06:15:00
1760.43,2012-05-07 06:30:00
798.9677,2012-05-07 06:45:00
734.10004,2012-05-07 07:00:00
307.31775,2012-05-07 07:15:00
610.1826,2012-05-07 07:30:00
430.33405,2012-05-07 07:45:00
739.02856,2012-05-07 08:00:00
644.0177,2012-05-07 08:15:00
986.88306,2012-05-07 08:30:00
839.4001,2012-05-07 08:45:00
908.8671,2012-05-07 09:00:00
931.59686,2012-05-07 09:15:00
474.01324,2012-05-07 09:30:00
476.83716,2012-05-07 09:45:00
565.3241,2012-05-07 10:00:00
805.536,2012-05-07 10:15:00
988.5724,2012-05-07 10:30:00
949.1341,2012-05-07 10:45:00
948.9318,2012-05-07 11:00:00
1126.4316,2012-05-07 11:15:00
727.22375,2012-05-07 11:30:00
656.4954,2012-05-07 11:45:00
952.49677,2012-05-07 12:00:00
1016.7243,2012-05-07 12:15:00
930.0908,2012-05-07 12:30:00
1277.712,2012-05-07 12:45:00
992.98553,2012-05-07 13:00:00
1160.724,2012-05-07 13:15:00
1092.1592,2012-05-07 13:30:00
1388.3372,2012-05-07 13:45:00
835.0913,2012-05-07 14:00:00
610.94763,2012-05-07 14:15:00
486.35248,2012-05-07 14:30:00
494.13092,2012-05-07 14:45:00
1206.4104,2012-05-07 15:00:00
942.16345,2012-05-07 15:15:00
908.6361,2012-05-07 15:30:00
997.3139,2012-05-07 15:45:00
1297.772,2012-05-07 16:00:00
967.8076,2012-05-07 16:15:00
1356.5139,2012-05-07 16:30:00
1231.9344,2012-05-07 16:45:00
982.28467,2012-05-07 17:00:00
1438.5438,2012-05-07 17:15:00
943.5426,2012-05-07 17:30:00
946.5408,2012-05-07 17:45:00
297.23163,2012-05-07 18:00:00
113.84252,2012-05-07 18:15:00
742.2278,2012-05-07 18:30:00
581.83466,2012-05-07 18:45:00
1467.3319,2012-05-07 19:00:00
838.77576,2012-05-07 19:15:00
1047.6212,2012-05-07 19:30:00
947.03204,2012-05-07 19:45:00
448.1976,2012-05-07 20:00:00
942.2062,2012-05-07 20:15:00
217.78339,2012-05-07 20:30:00
1336.7994,2012-05-07 20:45:00
512.31683,2012-05-07 21:00:00
334.76337,2012-05-07 21:15:00
315.78906,2012-05-07 21:30:00
1360.8525,2012-05-07 21:45:00
543.79144,2012-05-07 22:00:00
908.74426,2012-05-07 22:15:00
879.2603,2012-05-07 22:30:00
747.7529,2012-05-07 22:45:00
1226.3004,2012-05-07 23:00:00
980.274,2012-05-07 23:15:00
394.59177,2012-05-07 23:30:00
142.59938,2012-05-07 23:45:00
324.56174,2012-05-14 00:00:00
369.66107,2012-05-14 00:15:00
521.3269,2012-05-14 00:30:00
1574.304,2012-05-14 00:45:00
1148.8373,2012-05-14 01:00:00
1359.5481,2012-05-14 01:15:00
914.88745,2012-05-14 01:30:00
1419.0801,2012-05-14 01:45:00
1317.7561,2012-05-14 02:00:00
760.5448,2012-05-14 02:15:00
1536.2971,2012-05-14 02:30:00
292.27112,2012-05-14 02:45:00
1002.11035,2012-05-14 03:00:00
128.64053,2012-05-14 03:15:00
203.2242,2012-05-14 03:30:00
1106.4421,2012-05-14 03:45:00
314.50922,2012-05-14 04:00:00
661.0251,2012-05-14 04:15:00
557.4699,2012-05-14 04:30:00
1064.4703,2012-05-14 04:45:00
1007.46875,2012-05-14 05:00:00
979.7286,2012-05-14 05:15:00
771.55524,2012-05-14 05:30:00
685.2205,2012-05-14 05:45:00
557.5455,2012-05-14 06:00:00
851.1218,2012-05-14 06:15:00
545.51,2012-05-14 06:30:00
1495.0756,2012-05-14 06:45:00
1106.2135,2012-05-14 07:00:00
672.5671,2012-05-14 07:15:00
162.28857,2012-05-14 07:30:00
722.45886,2012-05-14 07:45:00
890.9007,2012-05-14 08:00:00
843.51465,2012-05-14 08:15:00
980.1558,2012-05-14 08:30:00
747.26184,2012-05-14 08:45:00
1017.8553,2012-05-14 09:00:00
987.00433,2012-05-14 09:15:00
349.8414,2012-05-14 09:30:00
577.1911,2012-05-14 09:45:00
464.38098,2012-05-14 10:00:00
789.394,2012-05-14 10:15:00
912.2085,2012-05-14 10:30:00
1019.53284,2012-05-14 10:45:00
1263.4646,2012-05-14 11:00:00
958.17816,2012-05-14 11:15:00
638.01373,2012-05-14 11:30:00
740.84705,2012-05-14 11:45:00
473.08295,2012-05-14 12:00:00
1294.0132,2012-05-14 12:15:00
1076.2216,2012-05-14 12:30:00
678.58923,2012-05-14 12:45:00
784.35736,2012-05-14 13:00:00
916.26544,2012-05-14 13:15:00
1008.83856,2012-05-14 13:30:00
1070.7532,2012-05-14 13:45:00
958.56165,2012-05-14 14:00:00
727.6298,2012-05-14 14:15:00
850.7157,2012-05-14 14:30:00
379.56693,2012-05-14 14:45:00
948.59326,2012-05-14 15:00:00
582.4494,2012-05-14 15:15:00
471.27988,2012-05-14 15:30:00
938.88745,2012-05-14 15:45:00
799.9286,2012-05-14 16:00:00
784.6583,2012-05-14 16:15:00
937.0129,2012-05-14 16:30:00
1399.2703,2012-05-14 16:45:00
932.0058,2012-05-14 17:00:00
1526.0192,2012-05-14 17:15:00
876.40344,2012-05-14 17:30:00
188.72215,2012-05-14 17:45:00
221.03477,2012-05-14 18:00:00
347.669,2012-05-14 18:15:00
318.3024,2012-05-14 18:30:00
475.63702,2012-05-14 18:45:00
910.58606,2012-05-14 19:00:00
942.4992,2012-05-14 19:15:00
741.9788,2012-05-14 19:30:00
312.96616,2012-05-14 19:45:00
200.54977,2012-05-14 20:00:00
173.48087,2012-05-14 20:15:00
221.01619,2012-05-14 20:30:00
600.92084,2012-05-14 20:45:00
823.3926,2012-05-14 21:00:00
1389.6248,2012-05-14 21:15:00
961.4527,2012-05-14 21:30:00
640.33563,2012-05-14 21:45:00
675.04706,2012-05-14 22:00:00
350.53067,2012-05-14 22:15:00
317.3541,2012-05-14 22:30:00
328.8372,2012-05-14 22:45:00
862.86426,2012-05-14 23:00:00
219.49532,2012-05-14 23:15:00
713.4146,2012-05-14 23:30:00
1209.7029,2012-05-14 23:45:00
1123.5667,2012-05-21 00:00:00
1162.9521,2012-05-21 00:15:00
1336.2864,2012-05-21 00:30:00
