watts,data
582.5861,2012-04-16 00:00:00
1610.5155,2012-04-16 00:15:00
2011.5712,2012-04-16 00:30:00
1143.3649,2012-04-16 00:45:00
623.4405,2012-04-16 01:00:00
1055.1967,2012-04-16 01:15:00
1673.9027,2012-04-16 01:30:00
1303.5262,2012-04-16 01:45:00
700.51843,2012-04-16 02:00:00
668.6345,2012-04-16 02:15:00
642.68304,2012-04-16 02:30:00
527.1737,2012-04-16 02:45:00
457.15234,2012-04-16 03:00:00
445.4227,2012-04-16 03:15:00
460.03873,2012-04-16 03:30:00
542.0982,2012-04-16 03:45:00
671.14056,2012-04-16 04:00:00
730.0634,2012-04-16 04:15:00
738.70386,2012-04-16 04:30:00
733.7062,2012-04-16 04:45:00
729.57367,2012-04-16 05:00:00
725.14374,2012-04-16 05:15:00
718.972,2012-04-16 05:30:00
713.89343,2012-04-16 05:45:00
710.47174,2012-04-16 06:00:00
707.14734,2012-04-16 06:15:00
703.7415,2012-04-16 06:30:00
701.13635,2012-04-16 06:45:00
699.03815,2012-04-16 07:00:00
697.008,2012-04-16 07:15:00
695.2315,2012-04-16 07:30:00
693.69293,2012-04-16 07:45:00
692.3742,2012-04-16 08:00:00
691.157,2012-04-16 08:15:00
690.2377,2012-04-16 08:30:00
689.6987,2012-04-16 08:45:00
689.4227,2012-04-16 09:00:00
689.33496,2012-04-16 09:15:00
689.446,2012-04-16 09:30:00
689.54877,2012-04-16 09:45:00
689.7324,2012-04-16 10:00:00
690.1114,2012-04-16 10:15:00
690.69415,2012-04-16 10:30:00
691.3464,2012-04-16 10:45:00
692.02954,2012-04-16 11:00:00
692.858,2012-04-16 11:15:00
693.85785,2012-04-16 11:30:00
694.7569,2012-04-16 11:45:00
695.75946,2012-04-16 12:00:00
697.0288,2012-04-16 12:15:00
698.32544,2012-04-16 12:30:00
699.58215,2012-04-16 12:45:00
701.01,2012-04-16 13:00:00
702.64966,2012-04-16 13:15:00
704.4001,2012-04-16 13:30:00
706.2122,2012-04-16 13:45:00
708.1343,2012-04-16 14:00:00
710.1988,2012-04-16 14:15:00
712.41876,2012-04-16 14:30:00
714.7546,2012-04-16 14:45:00
717.2047,2012-04-16 15:00:00
719.7893,2012-04-16 15:15:00
722.50464,2012-04-16 15:30:00
725.3131,2012-04-16 15:45:00
728.1692,2012-04-16 16:00:00
731.13574,2012-04-16 16:15:00
734.22815,2012-04-16 16:30:00
737.46136,2012-04-16 16:45:00
740.93616,2012-04-16 17:00:00
744.60126,2012-04-16 17:15:00
748.4103,2012-04-16 17:30:00
