watts,data
443.49255,2012-04-16 00:00:00
95.75375,2012-04-16 00:15:00
622.042,2012-04-16 00:30:00
314.54187,2012-04-16 00:45:00
443.30035,2012-04-16 01:00:00
477.00146,2012-04-16 01:15:00
362.22235,2012-04-16 01:30:00
446.8038,2012-04-16 01:45:00
391.04163,2012-04-16 02:00:00
310.87943,2012-04-16 02:15:00
292.6977,2012-04-16 02:30:00
316.9483,2012-04-16 02:45:00
334.7882,2012-04-16 03:00:00
349.42197,2012-04-16 03:15:00
318.54556,2012-04-16 03:30:00
299.1574,2012-04-16 03:45:00
299.7324,2012-04-16 04:00:00
329.4451,2012-04-16 04:15:00
329.09232,2012-04-16 04:30:00
379.7583,2012-04-16 04:45:00
374.31735,2012-04-16 05:00:00
422.71695,2012-04-16 05:15:00
428.6107,2012-04-16 05:30:00
539.624,2012-04-16 05:45:00
431.1228,2012-04-16 06:00:00
583.08057,2012-04-16 06:15:00
493.99518,2012-04-16 06:30:00
527.0711,2012-04-16 06:45:00
650.1088,2012-04-16 07:00:00
445.10318,2012-04-16 07:15:00
450.7708,2012-04-16 07:30:00
555.6733,2012-04-16 07:45:00
641.16187,2012-04-16 08:00:00
560.2937,2012-04-16 08:15:00
779.91626,2012-04-16 08:30:00
278.6946,2012-04-16 08:45:00
513.725,2012-04-16 09:00:00
374.687,2012-04-16 09:15:00
747.4275,2012-04-16 09:30:00
421.41617,2012-04-16 09:45:00
990.3444,2012-04-16 10:00:00
304.94742,2012-04-16 10:15:00
996.0297,2012-04-16 10:30:00
304.86526,2012-04-16 10:45:00
103.58699,2012-04-16 11:00:00
68.2437,2012-04-16 11:15:00
645.27655,2012-04-16 11:30:00
126.141464,2012-04-16 11:45:00
375.1518,2012-04-16 12:00:00
72.62685,2012-04-16 12:15:00
294.55777,2012-04-16 12:30:00
445.72345,2012-04-16 12:45:00
614.99927,2012-04-16 13:00:00
519.4124,2012-04-16 13:15:00
244.9484,2012-04-16 13:30:00
92.580574,2012-04-16 13:45:00
368.28555,2012-04-16 14:00:00
395.03296,2012-04-16 14:15:00
638.66724,2012-04-16 14:30:00
399.76105,2012-04-16 14:45:00
371.8272,2012-04-16 15:00:00
177.3944,2012-04-16 15:15:00
389.14114,2012-04-16 15:30:00
517.11053,2012-04-16 15:45:00
746.997,2012-04-16 16:00:00
900.9845,2012-04-16 16:15:00
962.6898,2012-04-16 16:30:00
925.07916,2012-04-16 16:45:00
949.3539,2012-04-16 17:00:00
925.1374,2012-04-16 17:15:00
975.7357,2012-04-16 17:30:00
994.1377,2012-04-16 17:45:00
1067.9545,2012-04-16 18:00:00
1033.3552,2012-04-16 18:15:00
1019.45447,2012-04-16 18:30:00
951.87714,2012-04-16 18:45:00
967.4179,2012-04-16 19:00:00
913.76764,2012-04-16 19:15:00
618.6613,2012-04-16 19:30:00
343.26248,2012-04-16 19:45:00
389.48788,2012-04-16 20:00:00
530.5975,2012-04-16 20:15:00
286.31604,2012-04-16 20:30:00
666.7931,2012-04-16 20:45:00
408.47226,2012-04-16 21:00:00
586.78125,2012-04-16 21:15:00
717.2941,2012-04-16 21:30:00
868.4002,2012-04-16 21:45:00
991.3163,2012-04-16 22:00:00
923.7449,2012-04-16 22:15:00
808.77496,2012-04-16 22:30:00
872.63904,2012-04-16 22:45:00
1001.1893,2012-04-16 23:00:00
1006.1272,2012-04-16 23:15:00
1213.3483,2012-04-16 23:30:00
936.9363,2012-04-16 23:45:00
499.67615,2012-04-23 00:00:00
227.06279,2012-04-23 00:15:00
555.28046,2012-04-23 00:30:00
431.05438,2012-04-23 00:45:00
452.32004,2012-04-23 01:00:00
548.1234,2012-04-23 01:15:00
435.83014,2012-04-23 01:30:00
474.66742,2012-04-23 01:45:00
505.50342,2012-04-23 02:00:00
447.60077,2012-04-23 02:15:00
408.42087,2012-04-23 02:30:00
345.63654,2012-04-23 02:45:00
347.53564,2012-04-23 03:00:00
351.10397,2012-04-23 03:15:00
367.8798,2012-04-23 03:30:00
365.31906,2012-04-23 03:45:00
330.30365,2012-04-23 04:00:00
341.75778,2012-04-23 04:15:00
341.48285,2012-04-23 04:30:00
356.8024,2012-04-23 04:45:00
366.03836,2012-04-23 05:00:00
355.88324,2012-04-23 05:15:00
376.45374,2012-04-23 05:30:00
440.04816,2012-04-23 05:45:00
545.8882,2012-04-23 06:00:00
489.21786,2012-04-23 06:15:00
576.28357,2012-04-23 06:30:00
506.7426,2012-04-23 06:45:00
550.0578,2012-04-23 07:00:00
668.58997,2012-04-23 07:15:00
459.66733,2012-04-23 07:30:00
481.2052,2012-04-23 07:45:00
599.5907,2012-04-23 08:00:00
643.2173,2012-04-23 08:15:00
623.80365,2012-04-23 08:30:00
823.3291,2012-04-23 08:45:00
299.72025,2012-04-23 09:00:00
550.2258,2012-04-23 09:15:00
405.94583,2012-04-23 09:30:00
788.9755,2012-04-23 09:45:00
439.1841,2012-04-23 10:00:00
894.49084,2012-04-23 10:15:00
244.11337,2012-04-23 10:30:00
810.85895,2012-04-23 10:45:00
306.4939,2012-04-23 11:00:00
1201.6764,2012-04-23 11:15:00
443.03995,2012-04-23 11:30:00
343.26074,2012-04-23 11:45:00
51.29058,2012-04-23 12:00:00
482.0269,2012-04-23 12:15:00
156.1752,2012-04-23 12:30:00
480.67532,2012-04-23 12:45:00
121.56515,2012-04-23 13:00:00
421.7988,2012-04-23 13:15:00
318.57755,2012-04-23 13:30:00
637.23193,2012-04-23 13:45:00
563.5987,2012-04-23 14:00:00
576.6091,2012-04-23 14:15:00
336.439,2012-04-23 14:30:00
166.13951,2012-04-23 14:45:00
642.07886,2012-04-23 15:00:00
579.40497,2012-04-23 15:15:00
816.3768,2012-04-23 15:30:00
508.61993,2012-04-23 15:45:00
464.1001,2012-04-23 16:00:00
545.94586,2012-04-23 16:15:00
506.19058,2012-04-23 16:30:00
1008.8013,2012-04-23 16:45:00
899.8822,2012-04-23 17:00:00
1132.1064,2012-04-23 17:15:00
938.25195,2012-04-23 17:30:00
1032.307,2012-04-23 17:45:00
888.974,2012-04-23 18:00:00
1012.16956,2012-04-23 18:15:00
882.8137,2012-04-23 18:30:00
1055.5573,2012-04-23 18:45:00
960.60486,2012-04-23 19:00:00
1072.9346,2012-04-23 19:15:00
909.8184,2012-04-23 19:30:00
990.07947,2012-04-23 19:45:00
789.8504,2012-04-23 20:00:00
501.90176,2012-04-23 20:15:00
248.9762,2012-04-23 20:30:00
594.22797,2012-04-23 20:45:00
192.83907,2012-04-23 21:00:00
737.0094,2012-04-23 21:15:00
311.17828,2012-04-23 21:30:00
631.0464,2012-04-23 21:45:00
460.0715,2012-04-23 22:00:00
810.22864,2012-04-23 22:15:00
773.0716,2012-04-23 22:30:00
1098.2076,2012-04-23 22:45:00
703.91113,2012-04-23 23:00:00
827.52124,2012-04-23 23:15:00
835.10034,2012-04-23 23:30:00
1032.6418,2012-04-23 23:45:00
643.4336,2012-04-30 00:00:00
446.1025,2012-04-30 00:15:00
521.5064,2012-04-30 00:30:00
583.29333,2012-04-30 00:45:00
518.91315,2012-04-30 01:00:00
583.49396,2012-04-30 01:15:00
492.29907,2012-04-30 01:30:00
538.63074,2012-04-30 01:45:00
512.684,2012-04-30 02:00:00
511.45895,2012-04-30 02:15:00
474.20578,2012-04-30 02:30:00
484.94296,2012-04-30 02:45:00
473.6465,2012-04-30 03:00:00
264.94446,2012-04-30 03:15:00
386.80182,2012-04-30 03:30:00
318.73206,2012-04-30 03:45:00
454.41522,2012-04-30 04:00:00
371.767,2012-04-30 04:15:00
382.99854,2012-04-30 04:30:00
347.87802,2012-04-30 04:45:00
383.4431,2012-04-30 05:00:00
388.2267,2012-04-30 05:15:00
431.6529,2012-04-30 05:30:00
398.36047,2012-04-30 05:45:00
456.3947,2012-04-30 06:00:00
547.5141,2012-04-30 06:15:00
598.22284,2012-04-30 06:30:00
529.8929,2012-04-30 06:45:00
635.92883,2012-04-30 07:00:00
580.996,2012-04-30 07:15:00
638.90686,2012-04-30 07:30:00
823.1016,2012-04-30 07:45:00
495.72974,2012-04-30 08:00:00
553.33234,2012-04-30 08:15:00
619.66876,2012-04-30 08:30:00
804.48785,2012-04-30 08:45:00
671.63293,2012-04-30 09:00:00
968.8205,2012-04-30 09:15:00
337.85568,2012-04-30 09:30:00
630.99286,2012-04-30 09:45:00
362.39377,2012-04-30 10:00:00
955.91614,2012-04-30 10:15:00
430.83923,2012-04-30 10:30:00
1014.37634,2012-04-30 10:45:00
300.09793,2012-04-30 11:00:00
1053.0758,2012-04-30 11:15:00
385.65753,2012-04-30 11:30:00
1230.9851,2012-04-30 11:45:00
461.31775,2012-04-30 12:00:00
570.9452,2012-04-30 12:15:00
66.96411,2012-04-30 12:30:00
308.96994,2012-04-30 12:45:00
308.43985,2012-04-30 13:00:00
391.91095,2012-04-30 13:15:00
298.77264,2012-04-30 13:30:00
366.5408,2012-04-30 13:45:00
304.80328,2012-04-30 14:00:00
627.09094,2012-04-30 14:15:00
595.5541,2012-04-30 14:30:00
730.67755,2012-04-30 14:45:00
363.22778,2012-04-30 15:00:00
214.37025,2012-04-30 15:15:00
538.38696,2012-04-30 15:30:00
594.81104,2012-04-30 15:45:00
843.68756,2012-04-30 16:00:00
526.0076,2012-04-30 16:15:00
437.91727,2012-04-30 16:30:00
251.16748,2012-04-30 16:45:00
515.09674,2012-04-30 17:00:00
562.25415,2012-04-30 17:15:00
868.5506,2012-04-30 17:30:00
832.9971,2012-04-30 17:45:00
952.319,2012-04-30 18:00:00
865.7212,2012-04-30 18:15:00
995.5659,2012-04-30 18:30:00
901.57184,2012-04-30 18:45:00
1029.4888,2012-04-30 19:00:00
983.8041,2012-04-30 19:15:00
1115.575,2012-04-30 19:30:00
1002.2641,2012-04-30 19:45:00
1040.3362,2012-04-30 20:00:00
920.6442,2012-04-30 20:15:00
915.5616,2012-04-30 20:30:00
448.42853,2012-04-30 20:45:00
238.65733,2012-04-30 21:00:00
629.07025,2012-04-30 21:15:00
153.50012,2012-04-30 21:30:00
759.53564,2012-04-30 21:45:00
280.79822,2012-04-30 22:00:00
661.49194,2012-04-30 22:15:00
